stage,dut,variable,entries,mean,std,landau_mpv,landau_mpv_err,landau_sigma,landau_sigma_err,gauss_sigma,gauss_sigma_err,landau_chi2_ndf,collected_charge,collected_charge_err
Before pmax cut,DUT1,pmax_fit,60000,16.76909070065717,47.96894789219334,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,tmax_fit,60000,-0.06308022932200633,11.152136941967937,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,area_new,59939,11.8197298491675,47.34591833100671,1.4938657500280885,0.003582780173855317,0.4502662911655306,0.0031539638308316887,0.16308086083548526,0.0195733351840194,17.89899376564747,0.317843776601721,0.0007622936540117696
Before pmax cut,DUT2,pmax_fit,60000,13.576747406890771,41.269070993157406,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,tmax_fit,60000,-0.01609720728471669,11.209669599617483,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,area_new,59920,9.680378983025278,39.63062418561121,1.6817116848548486,0.006339298929641105,0.6714557092371153,0.004649006611793738,0.045791956296594216,0.18961033400790223,15.58312004036828,0.35781099677762734,0.001348787006306618
Before pmax cut,DUT3,pmax_fit,60000,14.236756125185886,42.12487995913339,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,tmax_fit,60000,0.0076417141320170535,11.225017189692188,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,area_new,59923,10.70356011574467,41.209768375963264,1.9595997124617757,0.004388296768811077,0.602576533317724,0.0036242979528171492,0.15536716394307068,0.028243602399280907,4.504117514955833,0.41693610903442035,0.0009336801635768249
Before pmax cut,DUT4,pmax_fit,59999,14.044042081646761,44.92904611521895,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,tmax_fit,60000,-0.06360710935032761,11.281868993590825,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,area_new,59934,10.022742958762032,45.59449876236601,1.5649356258450149,0.004433973466059944,0.5669532001393548,0.003725979089306148,0.03060582098082996,0.15962676699339134,12.70914232834535,0.3329650267755351,0.0009433986097999881
After pmax cut,DUT1,pmax_fit,4255,167.95942320593934,88.23832556413029,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,tmax_fit,4255,0.05312273216506634,0.22898323359861772,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,area_new,4255,137.25374573506983,120.2927242428915,100.93661018784262,0.32831024577311674,9.891895161830053,0.2797944477702932,7.220431189767218,0.8118632801398118,3.847349199412036,21.47587450805162,0.0698532437815142
After pmax cut,DUT2,pmax_fit,3066,166.75269068041737,92.13258123658389,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,tmax_fit,3066,-0.023310024059915245,0.23921862856086268,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,area_new,3066,134.18411428510015,118.61357183542124,96.7636893301373,0.3733134814624638,10.230073969319928,0.33766118997744526,5.952220328295638,1.2925397783737185,2.862231722136366,20.58801900641219,0.07942840031116251
After pmax cut,DUT3,pmax_fit,3380,164.34046437867295,86.56406345213105,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,tmax_fit,3380,0.22443105633459784,0.24128213148195618,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,area_new,3380,141.73644230069493,108.24679793282203,105.33814099625477,0.35329885423699137,10.50859125447704,0.31817508336002204,5.660157958534703,1.1702911037657842,3.2223018565594077,22.412370424735055,0.07516996898659391
After pmax cut,DUT4,pmax_fit,2714,199.48892367931526,91.897179263026,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,tmax_fit,2714,0.257421240790583,0.24741315536173136,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,area_new,2714,169.52482772242433,138.26046183427383,125.65911550421123,0.4616163263303512,11.976501271565029,0.39833850763394546,7.191199426492959,1.2053645571302392,2.7564621655538626,26.7359820221726,0.09821623964475558
